ProductID	Name	ProductNumber	Color	StandardCost	ListPrice	Size	Weight	ProductCategoryID	ProductModelID	SellStartDate	SellEndDate	DiscontinuedDate	ThumbNailPhoto	ThumbnailPhotoFileName	rowguid	ModifiedDate
680	HL Road Frame - Black, 58	FR-R92B-58	Black	1059.31	1431.50	58	1016.04	18	6	1998-06-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	43DD68D6-14A4-461F-9069-55309D90EA7E	2004-03-11 10:01:36.827
706	HL Road Frame - Red, 58	FR-R92R-58	Red	1059.31	1431.50	58	1016.04	18	6	1998-06-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	9540FF17-2712-4C90-A3D1-8CE5568B2462	2004-03-11 10:01:36.827
707	Sport-100 Helmet, Red	HL-U509-R	Red	13.0863	34.99	NULL	NULL	35	33	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	2E1EF41A-C08A-4FF6-8ADA-BDE58B64A712	2004-03-11 10:01:36.827
708	Sport-100 Helmet, Black	HL-U509	Black	13.0863	34.99	NULL	NULL	35	33	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	A25A44FB-C2DE-4268-958F-110B8D7621E2	2004-03-11 10:01:36.827
709	Mountain Bike Socks, M	SO-B909-M	White	3.3963	9.50	M	NULL	27	18	2001-07-01 00:00:00.000	2002-06-30 00:00:00.000	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	18F95F47-1540-4E02-8F1F-CC1BCB6828D0	2004-03-11 10:01:36.827
710	Mountain Bike Socks, L	SO-B909-L	White	3.3963	9.50	L	NULL	27	18	2001-07-01 00:00:00.000	2002-06-30 00:00:00.000	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	161C035E-21B3-4E14-8E44-AF508F35D80A	2004-03-11 10:01:36.827
711	Sport-100 Helmet, Blue	HL-U509-B	Blue	13.0863	34.99	NULL	NULL	35	33	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	FD7C0858-4179-48C2-865B-ABD5DFC7BC1D	2004-03-11 10:01:36.827
712	AWC Logo Cap	CA-1098	Multi	6.9223	8.99	NULL	NULL	23	2	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	B9EDE243-A6F4-4629-B1D4-FFE1AEDC6DE7	2004-03-11 10:01:36.827
713	Long-Sleeve Logo Jersey, S	LJ-0192-S	Multi	38.4923	49.99	S	NULL	25	11	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003200F70000142567FCFCFC9F9F9F2C4B67CECECEE4E4E43B658AAAAAAA2C3458CACACAF0F0F04757A510182EC6C6C6E6E6E6EAEAEAA4A4A4EEEEEEE2E2E2696665AFAFAF102136225A8B8895AAD2D0E6B1B1B18DAFD3333335FAFAFA2E73B2254B72637098B2BCC876757AC2C2C218479DF6F6F65075AC	awc_jersey_male_small.gif	FD449C82-A259-4FAE-8584-6CA0255FAF68	2004-03-11 10:01:36.827
714	Long-Sleeve Logo Jersey, M	LJ-0192-M	Multi	38.4923	49.99	M	NULL	25	11	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003200F70000142567FCFCFC9F9F9F2C4B67CECECEE4E4E43B658AAAAAAA2C3458CACACAF0F0F04757A510182EC6C6C6E6E6E6EAEAEAA4A4A4EEEEEEE2E2E2696665AFAFAF102136225A8B8895AAD2D0E6B1B1B18DAFD3333335FAFAFA2E73B2254B72637098B2BCC876757AC2C2C218479DF6F6F65075AC	awc_jersey_male_small.gif	6A290063-A0CF-432A-8110-2EA0FDA14308	2004-03-11 10:01:36.827
715	Long-Sleeve Logo Jersey, L	LJ-0192-L	Multi	38.4923	49.99	L	NULL	25	11	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003200F70000142567FCFCFC9F9F9F2C4B67CECECEE4E4E43B658AAAAAAA2C3458CACACAF0F0F04757A510182EC6C6C6E6E6E6EAEAEAA4A4A4EEEEEEE2E2E2696665AFAFAF102136225A8B8895AAD2D0E6B1B1B18DAFD3333335FAFAFA2E73B2254B72637098B2BCC876757AC2C2C218479DF6F6F65075AC	awc_jersey_male_small.gif	34CF5EF5-C077-4EA0-914A-084814D5CBD5	2004-03-11 10:01:36.827
716	Long-Sleeve Logo Jersey, XL	LJ-0192-X	Multi	38.4923	49.99	XL	NULL	25	11	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003200F70000142567FCFCFC9F9F9F2C4B67CECECEE4E4E43B658AAAAAAA2C3458CACACAF0F0F04757A510182EC6C6C6E6E6E6EAEAEAA4A4A4EEEEEEE2E2E2696665AFAFAF102136225A8B8895AAD2D0E6B1B1B18DAFD3333335FAFAFA2E73B2254B72637098B2BCC876757AC2C2C218479DF6F6F65075AC	awc_jersey_male_small.gif	6EC47EC9-C041-4DDA-B686-2125D539CE9B	2004-03-11 10:01:36.827
717	HL Road Frame - Red, 62	FR-R92R-62	Red	868.6342	1431.50	62	1043.26	18	6	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	052E4F8B-0A2A-46B2-9F42-10FEBCFAE416	2004-03-11 10:01:36.827
718	HL Road Frame - Red, 44	FR-R92R-44	Red	868.6342	1431.50	44	961.61	18	6	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	A88D3B54-2CAE-43F2-8C6E-EA1D97B46A7C	2004-03-11 10:01:36.827
719	HL Road Frame - Red, 48	FR-R92R-48	Red	868.6342	1431.50	48	979.75	18	6	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	07BEFC9A-7634-402B-B234-D7797733BAAF	2004-03-11 10:01:36.827
720	HL Road Frame - Red, 52	FR-R92R-52	Red	868.6342	1431.50	52	997.90	18	6	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	FCFEA68F-310E-4E6E-9F99-BB17D011EBAE	2004-03-11 10:01:36.827
721	HL Road Frame - Red, 56	FR-R92R-56	Red	868.6342	1431.50	56	1016.04	18	6	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	56C85873-4993-41B4-8096-1067CFD7E4BD	2004-03-11 10:01:36.827
722	LL Road Frame - Black, 58	FR-R38B-58	Black	204.6251	337.22	58	1115.83	18	9	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	2140F256-F705-4D67-975D-32DE03265838	2004-03-11 10:01:36.827
723	LL Road Frame - Black, 60	FR-R38B-60	Black	204.6251	337.22	60	1124.90	18	9	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	AA95E2A5-E7C4-4B74-B1EA-B52EE3B51537	2004-03-11 10:01:36.827
724	LL Road Frame - Black, 62	FR-R38B-62	Black	204.6251	337.22	62	1133.98	18	9	2001-07-01 00:00:00.000	NULL	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	5247BE33-50BF-4527-8A30-A39AAE500A8E	2004-03-11 10:01:36.827
725	LL Road Frame - Red, 44	FR-R38R-44	Red	187.1571	337.22	44	1052.33	18	9	2001-07-01 00:00:00.000	2003-06-30 00:00:00.000	NULL	0x47494638396150003100F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	no_image_available_small.gif	137D319D-44AD-42B2-AB61-60B9CE52B5F2	2004-03-11 10:01:36.827
